# beta_f      C		 dC

1.00000000 0.02552221 0.00024868
1.20000000 0.03676650 0.00041946
1.40000000 0.05950619 0.00078182
1.50000000 0.07603754 0.00110955
1.55000000 0.09408337 0.00155254
1.58000000 0.10940155 0.00222222
1.60000000 0.12371930 0.00250379
1.62000000 0.15168790 0.00467726
1.65000000 0.17202088 0.00374709
1.70000000 0.13274157 0.00219989
1.80000000 0.10362045 0.00157730
2.00000000 0.08968375 0.00117291
