# 5 : 4 4 4 4 4 
# Tr_f(plaq)/2    Tr_a(plaq)/3     energy       W(1,2)        W(2,2)        W(2,3)        W(3,3)        W(2,4)        W(4,4)        Re(polyakov)   Im(polyakov) 
0.853849835113 0.659936960704 0.175380197864 0.783313977105 0.714438371659 0.657586034854 0.604500947791 0.705646409935 0.895690845443 0.82795670434 0 
0.764586737463 0.491192470412 0.282495915044 0.645897162474 0.539052201218 0.456371021661 0.399494132202 0.494941106927 0.741087272307 0.737823233304 0 
0.697532477053 0.386190362089 0.362961027537 0.556721097316 0.434220945507 0.354224690229 0.295170096958 0.408813943911 0.638387314883 0.651695133489 0 
0.650517147216 0.320837905086 0.419379423341 0.493115725541 0.366703929213 0.295514070658 0.242275194462 0.342247647109 0.578954948438 0.598218613447 0 
0.616581888089 0.282324624974 0.460101734293 0.450446214335 0.318663963052 0.239234777319 0.185878666473 0.282414071241 0.509800886839 0.540676402776 0 
0.593253336906 0.253570706852 0.488095995713 0.414468637344 0.277828203853 0.210384958569 0.160045317695 0.245753111409 0.454233360812 0.495646956579 0 
0.574410982639 0.232218036028 0.510706820833 0.386936884676 0.242658309303 0.178680842056 0.131360022167 0.204004764309 0.418116709524 0.49634179233 0 
0.552060857601 0.213589604363 0.537526970878 0.35889746949 0.221992030141 0.154724818587 0.110489303123 0.183318258555 0.386793750866 0.493873479845 0 
0.529252613382 0.190777934643 0.564896863942 0.331509146913 0.196878152737 0.128965541309 0.0943744345492 0.154245871981 0.357531979205 0.442252894998 0 
0.510883599276 0.175512312773 0.586939680869 0.318166281254 0.181151596528 0.11164739284 0.0805317986946 0.149437293804 0.347320175927 0.381312810003 0 
0.497751400078 0.162185541215 0.602698319907 0.303517394727 0.15557384703 0.0968060641867 0.0689105278727 0.125609150067 0.343013114789 0.354133519509 0 
0.482332902774 0.156394726686 0.621200516671 0.282380889702 0.141443584432 0.0954484017774 0.0579637975991 0.111844865323 0.331061176086 0.31274991928 0 
0.474871312521 0.151353167103 0.630154424975 0.268688950829 0.131968320021 0.0824748006776 0.0521412210878 0.100720697312 0.312705223659 0.274792179301 0 
0.467875421349 0.153908468967 0.638549494381 0.261807586682 0.125596894557 0.0688703804054 0.0434405379226 0.0851760481089 0.307143708822 0.296441185471 0 
0.457145104086 0.146910004825 0.651425875097 0.249344750149 0.118521720297 0.0631620459226 0.042140481059 0.0758817924542 0.284614024714 0.281776944265 0 
0.445508858165 0.136477891411 0.665389370202 0.237481025697 0.106771327797 0.054768819525 0.0301038546747 0.062991780008 0.277994141072 0.261915155462 0 
0.438852825343 0.126688295317 0.673376609588 0.231242618401 0.101500173071 0.0518626790564 0.0242306556287 0.054686270466 0.281711015793 0.218941825672 0 
0.42994019408 0.123719621045 0.684071767104 0.221847616571 0.0870717577971 0.0497985419376 0.0252815499115 0.0567171549342 0.272346956141 0.22116365569 0 
0.4224002544 0.116566962763 0.69311969472 0.210665911379 0.0840661751965 0.0421651850301 0.0258857035298 0.0461711787928 0.275441671682 0.206506315128 0 
0.419391155693 0.121671064209 0.696730613168 0.21027063072 0.0725973617805 0.0416365622861 0.0241548973676 0.044555869332 0.268236150501 0.173563633646 0 
0.411936798894 0.114455195017 0.705675841327 0.19788234974 0.0640571991599 0.0311026347887 0.0208246974766 0.0377032660317 0.263968452182 0.217463934769 0 
0.401521508873 0.10549349682 0.718174189353 0.186617547665 0.063074857358 0.0289595666272 0.0242846038793 0.0335330475586 0.283582067351 0.221746543849 0 
0.39587120991 0.108802520511 0.724954548109 0.183057805639 0.0656505847865 0.0316844214456 0.0215560089846 0.0336513963892 0.30303495039 0.211653446152 0 
0.38922211529 0.103295617373 0.732933461652 0.173156053331 0.0616887927618 0.0238444284335 0.00792590338925 0.0177903417979 0.280648835183 0.202320017116 0 
0.385964544259 0.10037911373 0.736842546889 0.168509913562 0.0498056995115 0.0236800820438 0.0109964033201 0.0208845539327 0.28751583833 0.16181677609 0 
0.376915635948 0.100570220574 0.747701236863 0.164982599115 0.0425383989167 0.0206167606804 0.0118117788041 0.0220500537802 0.273515485855 0.154624146207 0 
0.373397687431 0.0960390376574 0.751922775083 0.152604132139 0.0416388257591 0.0174937111549 0.00276766866831 0.01852006565 0.268970536497 0.153667931268 0 
0.372139588599 0.0964044539988 0.753432493682 0.158059302143 0.0363696412838 0.0128772014891 0.00423831538005 0.0161587636301 0.277518733546 0.163044096073 0 
0.36779861475 0.0905720862662 0.7586416623 0.151598785498 0.0312621530643 0.00979854380405 0.000218988658713 0.0227482133034 0.263918094806 0.169975158688 0 
0.361064204537 0.0853678900238 0.766722954556 0.150035130924 0.0347672195295 0.0077205217576 0.00411956987688 0.0122342706104 0.255690250572 0.132852145766 0 
0.352976566374 0.0852684971645 0.776428120351 0.147282531469 0.0256186423782 0.00684042226846 0.00678252759543 0.0122485780886 0.25595914215 0.119210226815 0 
0.346537319442 0.0869153287648 0.78415521667 0.139625600577 0.0265512502094 0.00361158240437 0.00836212575578 0.005956367614 0.25799566934 0.0996754876296 0 
0.34239164979 0.08400522671 0.789130020252 0.130660567595 0.0217760550234 0.00183841905883 0.00490414013445 0.00463423500337 0.25977997052 0.0793524833998 0 
0.343286093454 0.0823708615707 0.788056687856 0.126191734592 0.0229110962969 0.00722840355624 0.00975329512679 0.01642885434 0.249271551212 0.0766405515773 0 
0.343702024904 0.0816172823399 0.787557570115 0.129103315105 0.0241566266641 0.0109072079472 0.0141655515072 0.0157314241387 0.25682756865 0.05086858561 0 
0.336049315195 0.0739069446735 0.796740821766 0.128857904273 0.0165663225117 0.00498348226509 0.0115354364987 0.0156871397222 0.259878986619 0.061272244081 0 
0.330514433268 0.0720975987847 0.803382680078 0.120486904838 0.0217892352798 -0.00267668571862 0.00368731007731 0.00606209440836 0.271625697343 0.0776530196978 0 
0.33311597537 0.0723409448987 0.800260829556 0.11740047568 0.0238108155952 0.00620129650888 0.00216948654272 0.00731485310584 0.264144099657 0.0941517230419 0 
0.329104720125 0.0769551440113 0.80507433585 0.11250023651 0.014750482585 0.00994264043254 -0.00224677356588 0.00179350400265 0.262992226154 0.105003193775 0 
0.322937862149 0.0767518847663 0.812474565421 0.109526637243 0.0145799609289 0.00431813848407 -0.00120171212997 -0.00643322905344 0.267846389696 0.0930955219513 0 
0.322717628705 0.0711135423117 0.812738845553 0.111543514869 0.0111255847901 -0.00156834140068 0.00216337352246 -0.00784084366133 0.265918876961 0.0321131277564 0 
0.317356047883 0.0643781038669 0.819172742541 0.104737769989 0.00818418118522 0.00456594385073 0.00682400065065 -0.0190068101364 0.268708563853 0.039259407763 0 
0.314369560559 0.0658350660981 0.822756527329 0.10344078687 0.00338124067771 -0.00174863040563 0.00151200359486 -0.0101182916241 0.237940984527 0.0116395305292 0 
0.310354501855 0.0635892594636 0.827574597774 0.102330816802 0.00872031941072 0.00531664722221 -0.00498531549485 -0.00222419455508 0.231269354734 0.000345795664693 0 
0.308319676887 0.0607158967935 0.830016387735 0.0994228621529 0.00596122619088 0.00570387304662 0.00236569438958 0.000507464516178 0.237294365558 -0.0116097010546 0 
0.307328423508 0.0629370958227 0.83120589179 0.0995076842071 0.0160171970623 0.00189645785553 -0.00100941494036 -0.00198102989428 0.226235391763 -0.0499430436594 0 
0.310224393664 0.0652583210693 0.827730727603 0.10315526729 0.0221480441797 0.0081253632685 0.00888467280428 -0.00464931536275 0.255224347899 0.0150119367536 0 
0.306780433273 0.0655709202947 0.831863480073 0.0990031193231 0.0268854659728 0.00768482619547 -0.000690376687733 -0.000720003386383 0.261005214448 -0.00372404346158 0 
0.304835486257 0.0659064626184 0.834197416492 0.0999265579657 0.0279378203254 0.00947293080424 -0.00372579891263 0.00803504522694 0.230835597016 0.0194663809872 0 
0.304606904369 0.0669168691983 0.834471714757 0.0963796037673 0.0198280863837 -0.00136620128367 -0.00271900231675 -0.0126367232898 0.233759052501 0.019525569896 0 
0.305513233814 0.0679203288392 0.833384119424 0.0948784039438 0.0132031927773 -0.00484341606797 0.00521241986892 -0.00323864625235 0.224843846106 0.010661203121 0 
0.303662480922 0.0631029223446 0.835605022893 0.0945592676244 0.0154874312242 -0.000308882809023 0.00907219000119 -0.00673399938878 0.235497711166 -0.00446341182143 0 
0.300519510155 0.0611372195743 0.839376587814 0.0895652206939 0.0150587025453 0.00425055314732 0.0043007175098 -0.00329212870559 0.241071390877 -0.0451577960402 0 
0.300515937325 0.0648774743663 0.83938087521 0.0886944291864 0.00763197722146 -0.00384121723893 -0.00117945339346 -0.000543165062006 0.228889042259 -0.0118194787885 0 
0.300760603811 0.0626280035847 0.839087275426 0.0929244358374 0.014534515754 -0.00630520076468 0.00360811073853 -0.000267925852119 0.233836644599 0.0204848156366 0 
0.300771037221 0.0585294638017 0.839074755335 0.0944454078392 0.00543937910424 -0.00767799974847 0.00390226590037 -0.00738954430108 0.238867497074 0.0245175925216 0 
